precinct_id,CVAP_TOT24
ADAMS - 001110,755
ADAMS - 001111,1976
ADAMS - 001112,1430
ADAMS - 001113,1681
ADAMS - 001114,1298
ADAMS - 001115,1580
ADAMS - 001116,959
ADAMS - 001117,2334
ADAMS - 001118,1918
ADAMS - 001119,2221
ADAMS - 001120,1799
ADAMS - 001121,1471
ADAMS - 001122,1197
ADAMS - 001123,2252
ADAMS - 001124,1545
ADAMS - 001125,1238
ADAMS - 001126,1860
ADAMS - 001127,1348
ADAMS - 001128,2471
ADAMS - 001129,2694
ADAMS - 001130,406
ADAMS - 001131,1319
ADAMS - 001132,2151
ADAMS - 001133,2184
ADAMS - 001134,1585
ADAMS - 001135,1888
ADAMS - 001136,1100
ADAMS - 001137,1627
ADAMS - 001138,1043
ADAMS - 001139,436
ADAMS - 001140,1070
ADAMS - 001141,1785
ADAMS - 001142,1406
ADAMS - 001143,1422
ADAMS - 001144,1586
ADAMS - 001145,1896
ADAMS - 001146,1618
ADAMS - 001147,2042
ADAMS - 001148,1103
ADAMS - 001149,949
ADAMS - 001150,1980
ADAMS - 001151,1412
ADAMS - 001152,1585
ADAMS - 001153,1168
ADAMS - 001154,74
ADAMS - 001155,500
ADAMS - 001156,533
ADAMS - 001157,1090
ADAMS - 001158,1312
ADAMS - 001159,1779
ADAMS - 001160,970
ADAMS - 001161,481
ADAMS - 001162,1032
ADAMS - 001163,755
ADAMS - 001164,583
ADAMS - 001165,1572
ADAMS - 001166,573
ADAMS - 001167,704
ADAMS - 001168,1193
ADAMS - 001169,574
ADAMS - 001170,1859
ADAMS - 001171,1638
ADAMS - 001172,1133
ADAMS - 001173,126
ADAMS - 001174,709
ADAMS - 001175,1302
ADAMS - 001176,471
ADAMS - 001177,918
ADAMS - 001178,20
ADAMS - 001179,57
ADAMS - 001180,1746
ADAMS - 001181,1566
ADAMS - 001182,922
ADAMS - 001183,373
ADAMS - 001184,603
ADAMS - 001185,691
ADAMS - 001186,1592
ADAMS - 001187,1350
ADAMS - 001188,756
ADAMS - 001189,1015
ADAMS - 001190,1560
ADAMS - 001191,2489
ADAMS - 001192,1480
ADAMS - 001193,1135
ADAMS - 001194,919
ADAMS - 001195,687
ADAMS - 001196,331
ADAMS - 001197,729
ADAMS - 001198,1156
ADAMS - 001199,1332
ADAMS - 001200,175
ADAMS - 001201,637
ADAMS - 001202,1111
ADAMS - 001203,963
ADAMS - 001204,767
ADAMS - 001205,1672
ADAMS - 001206,1821
ADAMS - 001207,956
ADAMS - 001208,1168
ADAMS - 001209,1783
ADAMS - 001210,2604
ADAMS - 001211,671
ADAMS - 001212,981
ADAMS - 001213,1404
ADAMS - 001214,1664
ADAMS - 001215,1739
ADAMS - 001216,1933
ADAMS - 001217,988
ADAMS - 001218,1186
ADAMS - 001219,991
ADAMS - 001220,337
ADAMS - 001221,739
ADAMS - 001222,808
ADAMS - 001223,10
ADAMS - 001224,54
ADAMS - 001225,297
ADAMS - 001226,327
ADAMS - 001227,299
ADAMS - 001228,797
ADAMS - 001229,2596
ADAMS - 001230,2223
ADAMS - 001231,2219
ADAMS - 001232,3129
ADAMS - 001233,1974
ADAMS - 001234,1111
ADAMS - 001235,996
ADAMS - 001236,1411
ADAMS - 001237,1406
ADAMS - 001238,1271
ADAMS - 001239,1859
ADAMS - 001240,4165
ADAMS - 001241,689
ADAMS - 001242,876
ADAMS - 001243,1309
ADAMS - 001244,862
ADAMS - 001245,476
ADAMS - 001246,1819
ADAMS - 001247,1142
ADAMS - 001248,1057
ADAMS - 001249,379
ADAMS - 001250,1950
ADAMS - 001251,1462
ADAMS - 001252,1343
ADAMS - 001253,849
ADAMS - 001254,1532
ADAMS - 001255,1153
ALAMOSA - 003001,912
ALAMOSA - 003002,1492
ALAMOSA - 003003,1731
ALAMOSA - 003004,2224
ALAMOSA - 003005,963
ALAMOSA - 003006,1123
ALAMOSA - 003007,2817
ALAMOSA - 003008,860
ARAPAHOE - 005101,1940
ARAPAHOE - 005102,1550
ARAPAHOE - 005103,1071
ARAPAHOE - 005104,880
ARAPAHOE - 005105,2192
ARAPAHOE - 005106,732
ARAPAHOE - 005107,1181
ARAPAHOE - 005108,844
ARAPAHOE - 005109,702
ARAPAHOE - 005110,535
ARAPAHOE - 005111,1976
ARAPAHOE - 005112,891
ARAPAHOE - 005113,1057
ARAPAHOE - 005114,1558
ARAPAHOE - 005115,1353
ARAPAHOE - 005116,1631
ARAPAHOE - 005117,2071
ARAPAHOE - 005118,984
ARAPAHOE - 005119,765
ARAPAHOE - 005120,1020
ARAPAHOE - 005121,737
ARAPAHOE - 005122,845
ARAPAHOE - 005123,1274
ARAPAHOE - 005124,1482
ARAPAHOE - 005125,929
ARAPAHOE - 005126,1158
ARAPAHOE - 005127,184
ARAPAHOE - 005128,365
ARAPAHOE - 005129,601
ARAPAHOE - 005130,1087
ARAPAHOE - 005131,964
ARAPAHOE - 005132,1025
ARAPAHOE - 005133,750
ARAPAHOE - 005134,590
ARAPAHOE - 005135,397
ARAPAHOE - 005136,808
ARAPAHOE - 005137,953
ARAPAHOE - 005138,402
ARAPAHOE - 005139,685
ARAPAHOE - 005140,698
ARAPAHOE - 005141,505
ARAPAHOE - 005142,728
ARAPAHOE - 005143,1153
ARAPAHOE - 005144,861
ARAPAHOE - 005145,605
ARAPAHOE - 005146,669
ARAPAHOE - 005147,812
ARAPAHOE - 005148,569
ARAPAHOE - 005149,1552
ARAPAHOE - 005150,1205
ARAPAHOE - 005151,1279
ARAPAHOE - 005152,922
ARAPAHOE - 005153,2327
ARAPAHOE - 005154,1286
ARAPAHOE - 005155,1001
ARAPAHOE - 005156,447
ARAPAHOE - 005157,714
ARAPAHOE - 005158,985
ARAPAHOE - 005159,778
ARAPAHOE - 005160,1193
ARAPAHOE - 005161,924
ARAPAHOE - 005162,1088
ARAPAHOE - 005163,1414
ARAPAHOE - 005164,902
ARAPAHOE - 005165,1122
ARAPAHOE - 005166,362
ARAPAHOE - 005167,717
ARAPAHOE - 005168,920
ARAPAHOE - 005169,1124
ARAPAHOE - 005170,1231
ARAPAHOE - 005171,1543
ARAPAHOE - 005172,907
ARAPAHOE - 005173,1296
ARAPAHOE - 005174,787
ARAPAHOE - 005175,911
ARAPAHOE - 005176,1328
ARAPAHOE - 005177,1194
ARAPAHOE - 005178,1142
ARAPAHOE - 005179,822
ARAPAHOE - 005180,995
ARAPAHOE - 005181,872
ARAPAHOE - 005182,890
ARAPAHOE - 005183,1713
ARAPAHOE - 005184,765
ARAPAHOE - 005185,992
ARAPAHOE - 005186,711
ARAPAHOE - 005187,1020
ARAPAHOE - 005188,551
ARAPAHOE - 005189,1035
ARAPAHOE - 005190,1275
ARAPAHOE - 005191,1056
ARAPAHOE - 005192,1191
ARAPAHOE - 005193,858
ARAPAHOE - 005194,1151
ARAPAHOE - 005195,836
ARAPAHOE - 005196,621
ARAPAHOE - 005197,695
ARAPAHOE - 005201,324
ARAPAHOE - 005202,324
ARAPAHOE - 005203,716
ARAPAHOE - 005204,1469
ARAPAHOE - 005205,718
ARAPAHOE - 005206,613
ARAPAHOE - 005207,1130
ARAPAHOE - 005208,1115
ARAPAHOE - 005209,885
ARAPAHOE - 005210,1751
ARAPAHOE - 005211,741
ARAPAHOE - 005212,1452
ARAPAHOE - 005213,1156
ARAPAHOE - 005214,858
ARAPAHOE - 005215,665
ARAPAHOE - 005216,833
ARAPAHOE - 005217,841
ARAPAHOE - 005218,1226
ARAPAHOE - 005219,1018
ARAPAHOE - 005220,758
ARAPAHOE - 005221,612
ARAPAHOE - 005222,805
ARAPAHOE - 005223,1217
ARAPAHOE - 005224,947
ARAPAHOE - 005225,1204
ARAPAHOE - 005226,684
ARAPAHOE - 005227,612
ARAPAHOE - 005228,639
ARAPAHOE - 005229,1148
ARAPAHOE - 005230,0
ARAPAHOE - 005231,1437
ARAPAHOE - 005232,2065
ARAPAHOE - 005233,1505
ARAPAHOE - 005234,1363
ARAPAHOE - 005235,650
ARAPAHOE - 005236,721
ARAPAHOE - 005237,1094
ARAPAHOE - 005238,1149
ARAPAHOE - 005239,1066
ARAPAHOE - 005240,1534
ARAPAHOE - 005241,825
ARAPAHOE - 005242,660
ARAPAHOE - 005243,2159
ARAPAHOE - 005244,1296
ARAPAHOE - 005245,449
ARAPAHOE - 005246,1102
ARAPAHOE - 005247,1569
ARAPAHOE - 005248,689
ARAPAHOE - 005249,790
ARAPAHOE - 005250,911
ARAPAHOE - 005251,1368
ARAPAHOE - 005252,1299
ARAPAHOE - 005253,1520
ARAPAHOE - 005254,360
ARAPAHOE - 005255,1560
ARAPAHOE - 005256,0
ARAPAHOE - 005257,1200
ARAPAHOE - 005258,749
ARAPAHOE - 005259,2698
ARAPAHOE - 005260,1860
ARAPAHOE - 005261,1567
ARAPAHOE - 005262,1469
ARAPAHOE - 005263,962
ARAPAHOE - 005264,1254
ARAPAHOE - 005265,1123
ARAPAHOE - 005266,1049
ARAPAHOE - 005267,1021
ARAPAHOE - 005268,932
ARAPAHOE - 005269,996
ARAPAHOE - 005270,1538
ARAPAHOE - 005271,1015
ARAPAHOE - 005272,820
ARAPAHOE - 005273,1024
ARAPAHOE - 005274,1303
ARAPAHOE - 005275,603
ARAPAHOE - 005276,372
ARAPAHOE - 005277,967
ARAPAHOE - 005278,423
ARAPAHOE - 005279,829
ARAPAHOE - 005280,945
ARAPAHOE - 005281,1373
ARAPAHOE - 005282,1291
ARAPAHOE - 005283,846
ARAPAHOE - 005284,989
ARAPAHOE - 005285,522
ARAPAHOE - 005286,2904
ARAPAHOE - 005301,570
ARAPAHOE - 005302,1414
ARAPAHOE - 005303,1067
ARAPAHOE - 005304,1120
ARAPAHOE - 005305,1247
ARAPAHOE - 005306,851
ARAPAHOE - 005307,1336
ARAPAHOE - 005308,931
ARAPAHOE - 005309,1435
ARAPAHOE - 005310,1498
ARAPAHOE - 005311,1654
ARAPAHOE - 005312,2026
ARAPAHOE - 005313,1525
ARAPAHOE - 005314,1032
ARAPAHOE - 005315,1177
ARAPAHOE - 005316,1074
ARAPAHOE - 005317,989
ARAPAHOE - 005318,1297
ARAPAHOE - 005319,1953
ARAPAHOE - 005320,1818
ARAPAHOE - 005321,1495
ARAPAHOE - 005322,1203
ARAPAHOE - 005323,39
ARAPAHOE - 005324,456
ARAPAHOE - 005325,1494
ARAPAHOE - 005326,1059
ARAPAHOE - 005327,1194
ARAPAHOE - 005328,275
ARAPAHOE - 005329,1740
ARAPAHOE - 005330,1932
ARAPAHOE - 005331,752
ARAPAHOE - 005332,1111
ARAPAHOE - 005333,953
ARAPAHOE - 005334,2066
ARAPAHOE - 005335,1643
ARAPAHOE - 005336,1984
ARAPAHOE - 005337,1731
ARAPAHOE - 005338,1241
ARAPAHOE - 005339,1384
ARAPAHOE - 005340,3476
ARAPAHOE - 005341,1862
ARAPAHOE - 005342,2115
ARAPAHOE - 005343,1401
ARAPAHOE - 005344,1558
ARAPAHOE - 005345,498
ARAPAHOE - 005346,1152
ARAPAHOE - 005347,1775
ARAPAHOE - 005348,0
ARAPAHOE - 005349,0
ARAPAHOE - 005350,18
ARAPAHOE - 005351,2437
ARAPAHOE - 005352,1819
ARAPAHOE - 005353,989
ARAPAHOE - 005354,1666
ARAPAHOE - 005355,3865
ARAPAHOE - 005356,1662
ARAPAHOE - 005357,6
ARAPAHOE - 005358,84
ARAPAHOE - 005359,0
ARAPAHOE - 005360,2590
ARAPAHOE - 005361,4
ARAPAHOE - 005362,1290
ARAPAHOE - 005363,1229
ARAPAHOE - 005364,1713
ARAPAHOE - 005365,1110
ARAPAHOE - 005366,891
ARAPAHOE - 005367,1254
ARAPAHOE - 005368,1029
ARAPAHOE - 005369,1555
ARAPAHOE - 005370,1828
ARAPAHOE - 005371,1293
ARAPAHOE - 005372,2128
ARAPAHOE - 005373,1499
ARAPAHOE - 005374,2387
ARAPAHOE - 005375,1828
ARAPAHOE - 005376,1390
ARAPAHOE - 005377,2533
ARAPAHOE - 005378,1535
ARAPAHOE - 005379,924
ARAPAHOE - 005380,1194
ARAPAHOE - 005381,2227
ARAPAHOE - 005401,1938
ARAPAHOE - 005402,0
ARAPAHOE - 005403,1327
ARAPAHOE - 005404,1334
ARAPAHOE - 005405,1308
ARAPAHOE - 005406,363
ARAPAHOE - 005407,2046
ARAPAHOE - 005408,1072
ARAPAHOE - 005409,1881
ARAPAHOE - 005410,1581
ARAPAHOE - 005411,2243
ARAPAHOE - 005412,2359
ARAPAHOE - 005413,1575
ARAPAHOE - 005414,1036
ARAPAHOE - 005416,1914
ARAPAHOE - 005417,1277
ARAPAHOE - 005418,1209
ARAPAHOE - 005419,1759
ARAPAHOE - 005420,1734
ARAPAHOE - 005421,832
ARAPAHOE - 005422,753
ARAPAHOE - 005423,1736
ARAPAHOE - 005424,15
ARAPAHOE - 005425,969
ARAPAHOE - 005426,691
ARAPAHOE - 005427,1531
ARAPAHOE - 005428,1141
ARAPAHOE - 005429,899
ARAPAHOE - 005430,1394
ARAPAHOE - 005431,892
ARAPAHOE - 005432,1600
ARAPAHOE - 005433,1498
ARAPAHOE - 005434,1265
ARAPAHOE - 005435,1469
ARAPAHOE - 005436,1715
ARAPAHOE - 005437,1332
ARAPAHOE - 005438,1905
ARAPAHOE - 005439,1204
ARAPAHOE - 005440,767
ARAPAHOE - 005441,749
ARAPAHOE - 005442,664
ARAPAHOE - 005443,473
ARAPAHOE - 005444,1082
ARAPAHOE - 005445,742
ARAPAHOE - 005446,1019
ARAPAHOE - 005447,1085
ARAPAHOE - 005448,1981
ARAPAHOE - 005449,925
ARAPAHOE - 005450,1630
ARAPAHOE - 005451,1458
ARAPAHOE - 005452,1014
ARAPAHOE - 005453,577
ARAPAHOE - 005454,1039
ARAPAHOE - 005455,1348
ARAPAHOE - 005456,1033
ARAPAHOE - 005457,4
ARAPAHOE - 005458,0
ARAPAHOE - 005459,821
ARAPAHOE - 005460,1180
ARAPAHOE - 005461,1477
ARAPAHOE - 005462,1113
ARAPAHOE - 005463,2012
ARAPAHOE - 005464,1117
ARAPAHOE - 005465,799
ARAPAHOE - 005466,1145
ARAPAHOE - 005467,1029
ARAPAHOE - 005468,792
ARAPAHOE - 005469,668
ARAPAHOE - 005470,1711
ARAPAHOE - 005471,1118
ARAPAHOE - 005472,1726
ARAPAHOE - 005473,2595
ARAPAHOE - 005474,683
ARAPAHOE - 005475,35
ARAPAHOE - 005501,1743
ARAPAHOE - 005502,1663
ARAPAHOE - 005503,2793
ARAPAHOE - 005504,1054
ARAPAHOE - 005505,1350
ARAPAHOE - 005506,2103
ARAPAHOE - 005507,974
ARAPAHOE - 005508,832
ARAPAHOE - 005509,473
ARAPAHOE - 005510,1136
ARAPAHOE - 005511,1758
ARAPAHOE - 005512,2270
ARAPAHOE - 005513,1166
ARAPAHOE - 005514,1501
ARAPAHOE - 005515,1000
ARAPAHOE - 005516,1063
ARAPAHOE - 005517,824
ARAPAHOE - 005518,878
ARAPAHOE - 005519,1059
ARAPAHOE - 005520,936
ARAPAHOE - 005521,907
ARAPAHOE - 005522,1143
ARAPAHOE - 005523,1040
ARAPAHOE - 005524,1132
ARAPAHOE - 005525,1096
ARAPAHOE - 005526,1150
ARAPAHOE - 005527,1575
ARAPAHOE - 005528,599
ARAPAHOE - 005529,1226
ARAPAHOE - 005530,1475
ARAPAHOE - 005531,1473
ARAPAHOE - 005532,1444
ARAPAHOE - 005533,2164
ARAPAHOE - 005534,1932
ARAPAHOE - 005535,806
ARAPAHOE - 005536,926
ARAPAHOE - 005537,1367
ARAPAHOE - 005538,1604
ARAPAHOE - 005539,1803
ARAPAHOE - 005540,803
ARAPAHOE - 005541,1047
ARAPAHOE - 005542,723
ARAPAHOE - 005543,1129
ARAPAHOE - 005544,2616
ARAPAHOE - 005545,604
ARAPAHOE - 005546,986
ARAPAHOE - 005547,1946
ARAPAHOE - 005548,797
ARAPAHOE - 005549,973
ARAPAHOE - 005550,200
ARAPAHOE - 005551,1900
ARAPAHOE - 005552,1287
ARAPAHOE - 005553,2136
ARAPAHOE - 005554,1100
ARAPAHOE - 005555,998
ARAPAHOE - 005556,1422
ARAPAHOE - 005557,1886
ARAPAHOE - 005558,1255
ARAPAHOE - 005559,987
ARAPAHOE - 005560,355
ARAPAHOE - 005561,0
ARCHULETA - 007001,1300
ARCHULETA - 007002,1003
ARCHULETA - 007003,861
ARCHULETA - 007004,582
ARCHULETA - 007005,864
ARCHULETA - 007006,2759
ARCHULETA - 007007,1758
ARCHULETA - 007008,2094
BACA - 009001,256
BACA - 009002,379
BACA - 009003,184
BACA - 009004,931
BACA - 009005,127
BACA - 009006,160
BACA - 009007,60
BACA - 009008,368
BACA - 009009,86
BENT - 011001,564
BENT - 011002,565
BENT - 011003,1902
BENT - 011004,777
BENT - 011005,737
BOULDER - 013100,1497
BOULDER - 013101,1331
BOULDER - 013102,1471
BOULDER - 013103,1049
BOULDER - 013104,994
BOULDER - 013105,694
BOULDER - 013106,1317
BOULDER - 013107,731
BOULDER - 013200,594
BOULDER - 013201,571
BOULDER - 013202,1036
BOULDER - 013203,756
BOULDER - 013204,995
BOULDER - 013205,838
BOULDER - 013206,563
BOULDER - 013207,1046
BOULDER - 013208,862
BOULDER - 013209,477
BOULDER - 013210,822
BOULDER - 013211,985
BOULDER - 013212,1474
BOULDER - 013213,2650
BOULDER - 013214,1399
BOULDER - 013300,2230
BOULDER - 013301,2207
BOULDER - 013302,1927
BOULDER - 013303,709
BOULDER - 013304,1080
BOULDER - 013305,1389
BOULDER - 013306,1735
BOULDER - 013307,1509
BOULDER - 013308,973
BOULDER - 013309,1109
BOULDER - 013310,1439
BOULDER - 013311,901
BOULDER - 013312,851
BOULDER - 013313,1405
BOULDER - 013314,1223
BOULDER - 013315,965
BOULDER - 013316,1222
BOULDER - 013400,106
BOULDER - 013401,454
BOULDER - 013402,434
BOULDER - 013403,939
BOULDER - 013404,822
BOULDER - 013405,427
BOULDER - 013406,1181
BOULDER - 013407,657
BOULDER - 013408,1533
BOULDER - 013409,1888
BOULDER - 013410,776
BOULDER - 013411,1275
BOULDER - 013412,2437
BOULDER - 013413,1718
BOULDER - 013500,856
BOULDER - 013501,623
BOULDER - 013502,927
BOULDER - 013503,1703
BOULDER - 013504,990
BOULDER - 013505,665
BOULDER - 013506,426
BOULDER - 013507,1190
BOULDER - 013508,542
BOULDER - 013600,2168
BOULDER - 013601,1604
BOULDER - 013602,903
BOULDER - 013603,1967
BOULDER - 013604,1132
BOULDER - 013605,1218
BOULDER - 013606,1026
BOULDER - 013607,1706
BOULDER - 013608,1495
BOULDER - 013609,1001
BOULDER - 013610,2600
BOULDER - 013611,1714
BOULDER - 013612,1546
BOULDER - 013613,850
BOULDER - 013614,1407
BOULDER - 013615,662
BOULDER - 013616,1201
BOULDER - 013617,3393
BOULDER - 013618,2349
BOULDER - 013619,2352
BOULDER - 013620,2016
BOULDER - 013621,1011
BOULDER - 013622,1008
BOULDER - 013623,2125
BOULDER - 013624,1197
BOULDER - 013625,860
BOULDER - 013626,1426
BOULDER - 013627,1202
BOULDER - 013628,1123
BOULDER - 013629,667
BOULDER - 013630,1198
BOULDER - 013631,693
BOULDER - 013632,1312
BOULDER - 013633,1512
BOULDER - 013634,1090
BOULDER - 013635,741
BOULDER - 013636,1082
BOULDER - 013637,1763
BOULDER - 013638,1041
BOULDER - 013639,957
BOULDER - 013640,947
BOULDER - 013641,912
BOULDER - 013642,1735
BOULDER - 013643,1253
BOULDER - 013644,1668
BOULDER - 013645,1125
BOULDER - 013646,1026
BOULDER - 013647,1542
BOULDER - 013648,2048
BOULDER - 013649,1117
BOULDER - 013650,869
BOULDER - 013651,1357
BOULDER - 013652,1099
BOULDER - 013653,587
BOULDER - 013654,1447
BOULDER - 013700,877
BOULDER - 013701,574
BOULDER - 013702,369
BOULDER - 013703,511
BOULDER - 013704,430
BOULDER - 013705,665
BOULDER - 013706,183
BOULDER - 013707,572
BOULDER - 013708,589
BOULDER - 013800,663
BOULDER - 013801,1070
BOULDER - 013802,1684
BOULDER - 013803,1234
BOULDER - 013804,1338
BOULDER - 013805,348
BOULDER - 013806,1369
BOULDER - 013807,905
BOULDER - 013808,2035
BOULDER - 013809,898
BOULDER - 013810,883
BOULDER - 013811,1083
BOULDER - 013812,1098
BOULDER - 013813,1628
BOULDER - 013814,784
BOULDER - 013815,850
BOULDER - 013816,1119
BOULDER - 013817,586
BOULDER - 013818,1419
BOULDER - 013819,829
BOULDER - 013820,916
BOULDER - 013821,1159
BOULDER - 013822,1118
BOULDER - 013823,3122
BOULDER - 013824,1321
BOULDER - 013825,599
BOULDER - 013826,832
BOULDER - 013827,1145
BOULDER - 013828,910
BOULDER - 013829,1088
BOULDER - 013830,1073
BOULDER - 013831,1062
BOULDER - 013832,398
BOULDER - 013833,1749
BOULDER - 013834,2960
BOULDER - 013835,1436
BOULDER - 013836,964
BOULDER - 013837,1574
BOULDER - 013838,763
BOULDER - 013839,529
BOULDER - 013840,531
BOULDER - 013841,596
BOULDER - 013842,1048
BOULDER - 013843,1526
BOULDER - 013844,849
BOULDER - 013845,973
BOULDER - 013846,2593
BOULDER - 013847,1690
BOULDER - 013848,726
BOULDER - 013849,2580
BOULDER - 013850,785
BOULDER - 013851,1177
BOULDER - 013852,1328
BOULDER - 013853,832
BOULDER - 013854,959
BOULDER - 013855,813
BOULDER - 013856,552
BOULDER - 013857,641
BOULDER - 013858,1013
BOULDER - 013859,730
BOULDER - 013860,591
BOULDER - 013861,557
BOULDER - 013862,532
BOULDER - 013863,618
BOULDER - 013864,559
BOULDER - 013865,693
BOULDER - 013866,645
BOULDER - 013867,948
BOULDER - 013868,848
BOULDER - 013869,587
BOULDER - 013870,808
BOULDER - 013871,1019
BOULDER - 013872,1730
BOULDER - 013873,396
BOULDER - 013874,959
BOULDER - 013875,1137
BOULDER - 013876,1499
BOULDER - 013877,764
BOULDER - 013878,1222
BOULDER - 013879,959
BOULDER - 013880,1969
BOULDER - 013881,864
BOULDER - 013882,853
BOULDER - 013883,1114
BOULDER - 013884,969
BOULDER - 013885,510
BOULDER - 013886,559
BOULDER - 013887,707
BOULDER - 013888,754
BOULDER - 013900,387
BOULDER - 013901,577
BOULDER - 013902,647
BOULDER - 013903,1814
BOULDER - 013904,409
BOULDER - 013905,224
BOULDER - 013906,441
BOULDER - 013908,992
BOULDER - 013909,638
BOULDER - 013910,799
BOULDER - 013911,634
BOULDER - 013912,843
BOULDER - 013913,702
BOULDER - 013914,613
BOULDER - 013915,508
BOULDER - 013916,644
BOULDER - 013917,1237
BOULDER - 013918,1029
BROOMFIELD - 014001,1830
BROOMFIELD - 014002,3139
BROOMFIELD - 014003,2233
BROOMFIELD - 014004,1957
BROOMFIELD - 014005,179
BROOMFIELD - 014006,3508
BROOMFIELD - 014007,1022
BROOMFIELD - 014008,982
BROOMFIELD - 014009,972
BROOMFIELD - 014010,990
BROOMFIELD - 014011,1299
BROOMFIELD - 014012,1112
BROOMFIELD - 014013,1041
BROOMFIELD - 014014,1262
BROOMFIELD - 014015,1316
BROOMFIELD - 014016,858
BROOMFIELD - 014017,1614
BROOMFIELD - 014018,918
BROOMFIELD - 014019,1894
BROOMFIELD - 014020,1129
BROOMFIELD - 014021,2189
BROOMFIELD - 014022,1557
BROOMFIELD - 014023,1236
BROOMFIELD - 014024,2330
BROOMFIELD - 014025,2054
BROOMFIELD - 014026,1309
BROOMFIELD - 014027,1693
BROOMFIELD - 014028,595
BROOMFIELD - 014029,1323
BROOMFIELD - 014030,899
BROOMFIELD - 014031,1090
BROOMFIELD - 014032,2187
BROOMFIELD - 014033,1762
BROOMFIELD - 014034,679
BROOMFIELD - 014035,1824
BROOMFIELD - 014036,3239
BROOMFIELD - 014037,2032
CHAFFEE - 015001,1974
CHAFFEE - 015002,1807
CHAFFEE - 015003,3499
CHAFFEE - 015004,1193
CHAFFEE - 015005,2076
CHAFFEE - 015006,1691
CHAFFEE - 015007,1817
CHAFFEE - 015008,1635
CHAFFEE - 015009,1384
CHEYENNE - 017001,139
CHEYENNE - 017002,365
CHEYENNE - 017003,456
CHEYENNE - 017004,294
CHEYENNE - 017005,61
CLEAR CREEK - 019001,1063
CLEAR CREEK - 019002,546
CLEAR CREEK - 019003,607
CLEAR CREEK - 019004,1096
CLEAR CREEK - 019005,938
CLEAR CREEK - 019006,576
CLEAR CREEK - 019007,1245
CLEAR CREEK - 019008,795
CLEAR CREEK - 019009,970
CONEJOS - 021001,467
CONEJOS - 021002,628
CONEJOS - 021003,519
CONEJOS - 021004,443
CONEJOS - 021005,549
CONEJOS - 021006,774
CONEJOS - 021007,195
CONEJOS - 021008,915
CONEJOS - 021009,499
CONEJOS - 021010,510
COSTILLA - 023001,178
COSTILLA - 023002,298
COSTILLA - 023003,219
COSTILLA - 023004,336
COSTILLA - 023005,318
COSTILLA - 023006,201
COSTILLA - 023007,803
COSTILLA - 023008,454
CROWLEY - 025001,1691
CROWLEY - 025002,534
CROWLEY - 025003,539
